"0","1","Overall","var","Variables","Resample"
114.50771153117,114.50771153117,114.50771153117,"client_zip_rank",19,"Fold1"
80.4454033510711,80.4454033510711,80.4454033510711,"digital_t12m",19,"Fold1"
68.8149532725498,68.8149532725498,68.8149532725498,"cons_month_lt",19,"Fold1"
50.138037608096,50.138037608096,50.138037608096,"gift_avg_lt",19,"Fold1"
48.4585400231065,48.4585400231065,48.4585400231065,"promo_count_lt",19,"Fold1"
45.2789401413637,45.2789401413637,45.2789401413637,"gift_min_lt",19,"Fold1"
40.9165415467575,40.9165415467575,40.9165415467575,"gift_avg_t12m",19,"Fold1"
40.7090749181219,40.7090749181219,40.7090749181219,"gift_min_t12m",19,"Fold1"
40.3306545872247,40.3306545872247,40.3306545872247,"gift_max_lt",19,"Fold1"
39.8142237664964,39.8142237664964,39.8142237664964,"gift_count_lt",19,"Fold1"
37.7875551567651,37.7875551567651,37.7875551567651,"gender",19,"Fold1"
33.9124534293812,33.9124534293812,33.9124534293812,"promo_count_t12m",19,"Fold1"
32.9362851167383,32.9362851167383,32.9362851167383,"gift_count_t12m",19,"Fold1"
32.1920069007623,32.1920069007623,32.1920069007623,"gift_max_t12m",19,"Fold1"
29.064558212889,29.064558212889,29.064558212889,"dm_t12m",19,"Fold1"
25.0917340587342,25.0917340587342,25.0917340587342,"cons_month_t12m",19,"Fold1"
22.3069438483171,22.3069438483171,22.3069438483171,"other_t12m",19,"Fold1"
21.6599712826069,21.6599712826069,21.6599712826069,"wm_t12m",19,"Fold1"
-0.274299873835624,-0.274299873835624,-0.274299873835624,"f2f_t12m",19,"Fold1"
114.50771153117,114.50771153117,114.50771153117,"client_zip_rank",17,"Fold1"
80.4454033510711,80.4454033510711,80.4454033510711,"digital_t12m",17,"Fold1"
68.8149532725498,68.8149532725498,68.8149532725498,"cons_month_lt",17,"Fold1"
50.138037608096,50.138037608096,50.138037608096,"gift_avg_lt",17,"Fold1"
48.4585400231065,48.4585400231065,48.4585400231065,"promo_count_lt",17,"Fold1"
45.2789401413637,45.2789401413637,45.2789401413637,"gift_min_lt",17,"Fold1"
40.9165415467575,40.9165415467575,40.9165415467575,"gift_avg_t12m",17,"Fold1"
40.7090749181219,40.7090749181219,40.7090749181219,"gift_min_t12m",17,"Fold1"
40.3306545872247,40.3306545872247,40.3306545872247,"gift_max_lt",17,"Fold1"
39.8142237664964,39.8142237664964,39.8142237664964,"gift_count_lt",17,"Fold1"
37.7875551567651,37.7875551567651,37.7875551567651,"gender",17,"Fold1"
33.9124534293812,33.9124534293812,33.9124534293812,"promo_count_t12m",17,"Fold1"
32.9362851167383,32.9362851167383,32.9362851167383,"gift_count_t12m",17,"Fold1"
32.1920069007623,32.1920069007623,32.1920069007623,"gift_max_t12m",17,"Fold1"
29.064558212889,29.064558212889,29.064558212889,"dm_t12m",17,"Fold1"
25.0917340587342,25.0917340587342,25.0917340587342,"cons_month_t12m",17,"Fold1"
22.3069438483171,22.3069438483171,22.3069438483171,"other_t12m",17,"Fold1"
114.50771153117,114.50771153117,114.50771153117,"client_zip_rank",15,"Fold1"
80.4454033510711,80.4454033510711,80.4454033510711,"digital_t12m",15,"Fold1"
68.8149532725498,68.8149532725498,68.8149532725498,"cons_month_lt",15,"Fold1"
50.138037608096,50.138037608096,50.138037608096,"gift_avg_lt",15,"Fold1"
48.4585400231065,48.4585400231065,48.4585400231065,"promo_count_lt",15,"Fold1"
45.2789401413637,45.2789401413637,45.2789401413637,"gift_min_lt",15,"Fold1"
40.9165415467575,40.9165415467575,40.9165415467575,"gift_avg_t12m",15,"Fold1"
40.7090749181219,40.7090749181219,40.7090749181219,"gift_min_t12m",15,"Fold1"
40.3306545872247,40.3306545872247,40.3306545872247,"gift_max_lt",15,"Fold1"
39.8142237664964,39.8142237664964,39.8142237664964,"gift_count_lt",15,"Fold1"
37.7875551567651,37.7875551567651,37.7875551567651,"gender",15,"Fold1"
33.9124534293812,33.9124534293812,33.9124534293812,"promo_count_t12m",15,"Fold1"
32.9362851167383,32.9362851167383,32.9362851167383,"gift_count_t12m",15,"Fold1"
32.1920069007623,32.1920069007623,32.1920069007623,"gift_max_t12m",15,"Fold1"
29.064558212889,29.064558212889,29.064558212889,"dm_t12m",15,"Fold1"
114.50771153117,114.50771153117,114.50771153117,"client_zip_rank",13,"Fold1"
80.4454033510711,80.4454033510711,80.4454033510711,"digital_t12m",13,"Fold1"
68.8149532725498,68.8149532725498,68.8149532725498,"cons_month_lt",13,"Fold1"
50.138037608096,50.138037608096,50.138037608096,"gift_avg_lt",13,"Fold1"
48.4585400231065,48.4585400231065,48.4585400231065,"promo_count_lt",13,"Fold1"
45.2789401413637,45.2789401413637,45.2789401413637,"gift_min_lt",13,"Fold1"
40.9165415467575,40.9165415467575,40.9165415467575,"gift_avg_t12m",13,"Fold1"
40.7090749181219,40.7090749181219,40.7090749181219,"gift_min_t12m",13,"Fold1"
40.3306545872247,40.3306545872247,40.3306545872247,"gift_max_lt",13,"Fold1"
39.8142237664964,39.8142237664964,39.8142237664964,"gift_count_lt",13,"Fold1"
37.7875551567651,37.7875551567651,37.7875551567651,"gender",13,"Fold1"
