"0","1","Overall","var","Variables","Resample"
166.255560144104,166.255560144104,166.255560144104,"client_state_rank",23,"Fold1"
164.685457177153,164.685457177153,164.685457177153,"client_zip_rank",23,"Fold1"
151.517027101826,151.517027101826,151.517027101826,"cons_month_lt",23,"Fold1"
74.6883340436756,74.6883340436756,74.6883340436756,"gift_max_lt",23,"Fold1"
74.1107089126714,74.1107089126714,74.1107089126714,"promo_count_lt",23,"Fold1"
71.7179929984366,71.7179929984366,71.7179929984366,"gender",23,"Fold1"
71.4069968785174,71.4069968785174,71.4069968785174,"wm_t12m",23,"Fold1"
70.8920143354725,70.8920143354725,70.8920143354725,"gift_min_lt",23,"Fold1"
64.5795650027688,64.5795650027688,64.5795650027688,"gift_avg_lt",23,"Fold1"
59.124140927772,59.124140927772,59.124140927772,"other_t12m",23,"Fold1"
58.5451762144466,58.5451762144466,58.5451762144466,"gift_max_t12m",23,"Fold1"
57.0907607316507,57.0907607316507,57.0907607316507,"gift_avg_t12m",23,"Fold1"
56.7694715035926,56.7694715035926,56.7694715035926,"gift_count_lt",23,"Fold1"
55.8435889974897,55.8435889974897,55.8435889974897,"gift_min_t12m",23,"Fold1"
54.3860140694735,54.3860140694735,54.3860140694735,"gift_count_t12m",23,"Fold1"
41.7797397212809,41.7797397212809,41.7797397212809,"promo_count_t12m",23,"Fold1"
41.3837870361952,41.3837870361952,41.3837870361952,"digital_t12m",23,"Fold1"
37.3158118165586,37.3158118165586,37.3158118165586,"cons_month_t12m",23,"Fold1"
36.4059465343312,36.4059465343312,36.4059465343312,"tm_t12m",23,"Fold1"
34.1568823537565,34.1568823537565,34.1568823537565,"dm_t12m",23,"Fold1"
26.7407499405879,26.7407499405879,26.7407499405879,"events_t12m",23,"Fold1"
22.2312243234827,22.2312243234827,22.2312243234827,"f2f_t12m",23,"Fold1"
14.9142351832202,14.9142351832202,14.9142351832202,"drtv_t12m",23,"Fold1"
166.255560144104,166.255560144104,166.255560144104,"client_state_rank",21,"Fold1"
164.685457177153,164.685457177153,164.685457177153,"client_zip_rank",21,"Fold1"
151.517027101826,151.517027101826,151.517027101826,"cons_month_lt",21,"Fold1"
74.6883340436756,74.6883340436756,74.6883340436756,"gift_max_lt",21,"Fold1"
74.1107089126714,74.1107089126714,74.1107089126714,"promo_count_lt",21,"Fold1"
71.7179929984366,71.7179929984366,71.7179929984366,"gender",21,"Fold1"
71.4069968785174,71.4069968785174,71.4069968785174,"wm_t12m",21,"Fold1"
70.8920143354725,70.8920143354725,70.8920143354725,"gift_min_lt",21,"Fold1"
64.5795650027688,64.5795650027688,64.5795650027688,"gift_avg_lt",21,"Fold1"
59.124140927772,59.124140927772,59.124140927772,"other_t12m",21,"Fold1"
58.5451762144466,58.5451762144466,58.5451762144466,"gift_max_t12m",21,"Fold1"
57.0907607316507,57.0907607316507,57.0907607316507,"gift_avg_t12m",21,"Fold1"
56.7694715035926,56.7694715035926,56.7694715035926,"gift_count_lt",21,"Fold1"
55.8435889974897,55.8435889974897,55.8435889974897,"gift_min_t12m",21,"Fold1"
54.3860140694735,54.3860140694735,54.3860140694735,"gift_count_t12m",21,"Fold1"
41.7797397212809,41.7797397212809,41.7797397212809,"promo_count_t12m",21,"Fold1"
41.3837870361952,41.3837870361952,41.3837870361952,"digital_t12m",21,"Fold1"
37.3158118165586,37.3158118165586,37.3158118165586,"cons_month_t12m",21,"Fold1"
36.4059465343312,36.4059465343312,36.4059465343312,"tm_t12m",21,"Fold1"
34.1568823537565,34.1568823537565,34.1568823537565,"dm_t12m",21,"Fold1"
26.7407499405879,26.7407499405879,26.7407499405879,"events_t12m",21,"Fold1"
166.255560144104,166.255560144104,166.255560144104,"client_state_rank",19,"Fold1"
164.685457177153,164.685457177153,164.685457177153,"client_zip_rank",19,"Fold1"
151.517027101826,151.517027101826,151.517027101826,"cons_month_lt",19,"Fold1"
74.6883340436756,74.6883340436756,74.6883340436756,"gift_max_lt",19,"Fold1"
74.1107089126714,74.1107089126714,74.1107089126714,"promo_count_lt",19,"Fold1"
71.7179929984366,71.7179929984366,71.7179929984366,"gender",19,"Fold1"
71.4069968785174,71.4069968785174,71.4069968785174,"wm_t12m",19,"Fold1"
70.8920143354725,70.8920143354725,70.8920143354725,"gift_min_lt",19,"Fold1"
64.5795650027688,64.5795650027688,64.5795650027688,"gift_avg_lt",19,"Fold1"
59.124140927772,59.124140927772,59.124140927772,"other_t12m",19,"Fold1"
58.5451762144466,58.5451762144466,58.5451762144466,"gift_max_t12m",19,"Fold1"
57.0907607316507,57.0907607316507,57.0907607316507,"gift_avg_t12m",19,"Fold1"
56.7694715035926,56.7694715035926,56.7694715035926,"gift_count_lt",19,"Fold1"
55.8435889974897,55.8435889974897,55.8435889974897,"gift_min_t12m",19,"Fold1"
54.3860140694735,54.3860140694735,54.3860140694735,"gift_count_t12m",19,"Fold1"
41.7797397212809,41.7797397212809,41.7797397212809,"promo_count_t12m",19,"Fold1"
41.3837870361952,41.3837870361952,41.3837870361952,"digital_t12m",19,"Fold1"
37.3158118165586,37.3158118165586,37.3158118165586,"cons_month_t12m",19,"Fold1"
36.4059465343312,36.4059465343312,36.4059465343312,"tm_t12m",19,"Fold1"
166.255560144104,166.255560144104,166.255560144104,"client_state_rank",17,"Fold1"
164.685457177153,164.685457177153,164.685457177153,"client_zip_rank",17,"Fold1"
151.517027101826,151.517027101826,151.517027101826,"cons_month_lt",17,"Fold1"
74.6883340436756,74.6883340436756,74.6883340436756,"gift_max_lt",17,"Fold1"
74.1107089126714,74.1107089126714,74.1107089126714,"promo_count_lt",17,"Fold1"
71.7179929984366,71.7179929984366,71.7179929984366,"gender",17,"Fold1"
71.4069968785174,71.4069968785174,71.4069968785174,"wm_t12m",17,"Fold1"
70.8920143354725,70.8920143354725,70.8920143354725,"gift_min_lt",17,"Fold1"
64.5795650027688,64.5795650027688,64.5795650027688,"gift_avg_lt",17,"Fold1"
59.124140927772,59.124140927772,59.124140927772,"other_t12m",17,"Fold1"
58.5451762144466,58.5451762144466,58.5451762144466,"gift_max_t12m",17,"Fold1"
57.0907607316507,57.0907607316507,57.0907607316507,"gift_avg_t12m",17,"Fold1"
56.7694715035926,56.7694715035926,56.7694715035926,"gift_count_lt",17,"Fold1"
55.8435889974897,55.8435889974897,55.8435889974897,"gift_min_t12m",17,"Fold1"
54.3860140694735,54.3860140694735,54.3860140694735,"gift_count_t12m",17,"Fold1"
41.7797397212809,41.7797397212809,41.7797397212809,"promo_count_t12m",17,"Fold1"
41.3837870361952,41.3837870361952,41.3837870361952,"digital_t12m",17,"Fold1"
166.255560144104,166.255560144104,166.255560144104,"client_state_rank",15,"Fold1"
164.685457177153,164.685457177153,164.685457177153,"client_zip_rank",15,"Fold1"
151.517027101826,151.517027101826,151.517027101826,"cons_month_lt",15,"Fold1"
74.6883340436756,74.6883340436756,74.6883340436756,"gift_max_lt",15,"Fold1"
74.1107089126714,74.1107089126714,74.1107089126714,"promo_count_lt",15,"Fold1"
71.7179929984366,71.7179929984366,71.7179929984366,"gender",15,"Fold1"
71.4069968785174,71.4069968785174,71.4069968785174,"wm_t12m",15,"Fold1"
70.8920143354725,70.8920143354725,70.8920143354725,"gift_min_lt",15,"Fold1"
