"0","1","Overall","var","Variables","Resample"
195.252052196022,195.252052196022,195.252052196022,"client_zip_rank",21,"Fold1"
193.285965393353,193.285965393353,193.285965393353,"client_state_rank",21,"Fold1"
157.196410031109,157.196410031109,157.196410031109,"age",21,"Fold1"
156.086792714222,156.086792714222,156.086792714222,"cons_month_lt",21,"Fold1"
121.414062000075,121.414062000075,121.414062000075,"gift_avg_lt",21,"Fold1"
114.783897731302,114.783897731302,114.783897731302,"digital_t12m",21,"Fold1"
111.237330965998,111.237330965998,111.237330965998,"gift_max_lt",21,"Fold1"
104.827631817943,104.827631817943,104.827631817943,"gender",21,"Fold1"
104.143614465411,104.143614465411,104.143614465411,"gift_min_lt",21,"Fold1"
74.7294098720821,74.7294098720821,74.7294098720821,"promo_count_lt",21,"Fold1"
73.5708532891897,73.5708532891897,73.5708532891897,"wm_t12m",21,"Fold1"
68.6700091927846,68.6700091927846,68.6700091927846,"gift_count_lt",21,"Fold1"
68.2221942478234,68.2221942478234,68.2221942478234,"gift_avg_t12m",21,"Fold1"
54.6061589109513,54.6061589109513,54.6061589109513,"gift_min_t12m",21,"Fold1"
54.5071763282776,54.5071763282776,54.5071763282776,"gift_max_t12m",21,"Fold1"
54.2533856821568,54.2533856821568,54.2533856821568,"promo_count_t12m",21,"Fold1"
42.7804778310512,42.7804778310512,42.7804778310512,"gift_count_t12m",21,"Fold1"
33.2696695589513,33.2696695589513,33.2696695589513,"dm_t12m",21,"Fold1"
32.109949389983,32.109949389983,32.109949389983,"cons_month_t12m",21,"Fold1"
31.6943070022083,31.6943070022083,31.6943070022083,"drtv_t12m",21,"Fold1"
5.68910765788968,5.68910765788968,5.68910765788968,"other_t12m",21,"Fold1"
195.252052196022,195.252052196022,195.252052196022,"client_zip_rank",19,"Fold1"
193.285965393353,193.285965393353,193.285965393353,"client_state_rank",19,"Fold1"
157.196410031109,157.196410031109,157.196410031109,"age",19,"Fold1"
156.086792714222,156.086792714222,156.086792714222,"cons_month_lt",19,"Fold1"
121.414062000075,121.414062000075,121.414062000075,"gift_avg_lt",19,"Fold1"
114.783897731302,114.783897731302,114.783897731302,"digital_t12m",19,"Fold1"
111.237330965998,111.237330965998,111.237330965998,"gift_max_lt",19,"Fold1"
104.827631817943,104.827631817943,104.827631817943,"gender",19,"Fold1"
104.143614465411,104.143614465411,104.143614465411,"gift_min_lt",19,"Fold1"
74.7294098720821,74.7294098720821,74.7294098720821,"promo_count_lt",19,"Fold1"
73.5708532891897,73.5708532891897,73.5708532891897,"wm_t12m",19,"Fold1"
68.6700091927846,68.6700091927846,68.6700091927846,"gift_count_lt",19,"Fold1"
68.2221942478234,68.2221942478234,68.2221942478234,"gift_avg_t12m",19,"Fold1"
54.6061589109513,54.6061589109513,54.6061589109513,"gift_min_t12m",19,"Fold1"
54.5071763282776,54.5071763282776,54.5071763282776,"gift_max_t12m",19,"Fold1"
54.2533856821568,54.2533856821568,54.2533856821568,"promo_count_t12m",19,"Fold1"
42.7804778310512,42.7804778310512,42.7804778310512,"gift_count_t12m",19,"Fold1"
33.2696695589513,33.2696695589513,33.2696695589513,"dm_t12m",19,"Fold1"
32.109949389983,32.109949389983,32.109949389983,"cons_month_t12m",19,"Fold1"
195.252052196022,195.252052196022,195.252052196022,"client_zip_rank",17,"Fold1"
193.285965393353,193.285965393353,193.285965393353,"client_state_rank",17,"Fold1"
157.196410031109,157.196410031109,157.196410031109,"age",17,"Fold1"
156.086792714222,156.086792714222,156.086792714222,"cons_month_lt",17,"Fold1"
121.414062000075,121.414062000075,121.414062000075,"gift_avg_lt",17,"Fold1"
114.783897731302,114.783897731302,114.783897731302,"digital_t12m",17,"Fold1"
111.237330965998,111.237330965998,111.237330965998,"gift_max_lt",17,"Fold1"
104.827631817943,104.827631817943,104.827631817943,"gender",17,"Fold1"
104.143614465411,104.143614465411,104.143614465411,"gift_min_lt",17,"Fold1"
74.7294098720821,74.7294098720821,74.7294098720821,"promo_count_lt",17,"Fold1"
73.5708532891897,73.5708532891897,73.5708532891897,"wm_t12m",17,"Fold1"
68.6700091927846,68.6700091927846,68.6700091927846,"gift_count_lt",17,"Fold1"
68.2221942478234,68.2221942478234,68.2221942478234,"gift_avg_t12m",17,"Fold1"
54.6061589109513,54.6061589109513,54.6061589109513,"gift_min_t12m",17,"Fold1"
54.5071763282776,54.5071763282776,54.5071763282776,"gift_max_t12m",17,"Fold1"
54.2533856821568,54.2533856821568,54.2533856821568,"promo_count_t12m",17,"Fold1"
42.7804778310512,42.7804778310512,42.7804778310512,"gift_count_t12m",17,"Fold1"
195.252052196022,195.252052196022,195.252052196022,"client_zip_rank",15,"Fold1"
193.285965393353,193.285965393353,193.285965393353,"client_state_rank",15,"Fold1"
157.196410031109,157.196410031109,157.196410031109,"age",15,"Fold1"
156.086792714222,156.086792714222,156.086792714222,"cons_month_lt",15,"Fold1"
121.414062000075,121.414062000075,121.414062000075,"gift_avg_lt",15,"Fold1"
114.783897731302,114.783897731302,114.783897731302,"digital_t12m",15,"Fold1"
111.237330965998,111.237330965998,111.237330965998,"gift_max_lt",15,"Fold1"
104.827631817943,104.827631817943,104.827631817943,"gender",15,"Fold1"
104.143614465411,104.143614465411,104.143614465411,"gift_min_lt",15,"Fold1"
74.7294098720821,74.7294098720821,74.7294098720821,"promo_count_lt",15,"Fold1"
73.5708532891897,73.5708532891897,73.5708532891897,"wm_t12m",15,"Fold1"
68.6700091927846,68.6700091927846,68.6700091927846,"gift_count_lt",15,"Fold1"
68.2221942478234,68.2221942478234,68.2221942478234,"gift_avg_t12m",15,"Fold1"
54.6061589109513,54.6061589109513,54.6061589109513,"gift_min_t12m",15,"Fold1"
54.5071763282776,54.5071763282776,54.5071763282776,"gift_max_t12m",15,"Fold1"
195.252052196022,195.252052196022,195.252052196022,"client_zip_rank",13,"Fold1"
193.285965393353,193.285965393353,193.285965393353,"client_state_rank",13,"Fold1"
157.196410031109,157.196410031109,157.196410031109,"age",13,"Fold1"
156.086792714222,156.086792714222,156.086792714222,"cons_month_lt",13,"Fold1"
121.414062000075,121.414062000075,121.414062000075,"gift_avg_lt",13,"Fold1"
114.783897731302,114.783897731302,114.783897731302,"digital_t12m",13,"Fold1"
111.237330965998,111.237330965998,111.237330965998,"gift_max_lt",13,"Fold1"
104.827631817943,104.827631817943,104.827631817943,"gender",13,"Fold1"
104.143614465411,104.143614465411,104.143614465411,"gift_min_lt",13,"Fold1"
74.7294098720821,74.7294098720821,74.7294098720821,"promo_count_lt",13,"Fold1"
73.5708532891897,73.5708532891897,73.5708532891897,"wm_t12m",13,"Fold1"
68.6700091927846,68.6700091927846,68.6700091927846,"gift_count_lt",13,"Fold1"
68.2221942478234,68.2221942478234,68.2221942478234,"gift_avg_t12m",13,"Fold1"
195.252052196022,195.252052196022,195.252052196022,"client_zip_rank",11,"Fold1"
193.285965393353,193.285965393353,193.285965393353,"client_state_rank",11,"Fold1"
157.196410031109,157.196410031109,157.196410031109,"age",11,"Fold1"
156.086792714222,156.086792714222,156.086792714222,"cons_month_lt",11,"Fold1"
121.414062000075,121.414062000075,121.414062000075,"gift_avg_lt",11,"Fold1"
114.783897731302,114.783897731302,114.783897731302,"digital_t12m",11,"Fold1"
111.237330965998,111.237330965998,111.237330965998,"gift_max_lt",11,"Fold1"
104.827631817943,104.827631817943,104.827631817943,"gender",11,"Fold1"
104.143614465411,104.143614465411,104.143614465411,"gift_min_lt",11,"Fold1"
74.7294098720821,74.7294098720821,74.7294098720821,"promo_count_lt",11,"Fold1"
73.5708532891897,73.5708532891897,73.5708532891897,"wm_t12m",11,"Fold1"
195.252052196022,195.252052196022,195.252052196022,"client_zip_rank",9,"Fold1"
193.285965393353,193.285965393353,193.285965393353,"client_state_rank",9,"Fold1"
157.196410031109,157.196410031109,157.196410031109,"age",9,"Fold1"
156.086792714222,156.086792714222,156.086792714222,"cons_month_lt",9,"Fold1"
121.414062000075,121.414062000075,121.414062000075,"gift_avg_lt",9,"Fold1"
114.783897731302,114.783897731302,114.783897731302,"digital_t12m",9,"Fold1"
111.237330965998,111.237330965998,111.237330965998,"gift_max_lt",9,"Fold1"
104.827631817943,104.827631817943,104.827631817943,"gender",9,"Fold1"
104.143614465411,104.143614465411,104.143614465411,"gift_min_lt",9,"Fold1"
195.252052196022,195.252052196022,195.252052196022,"client_zip_rank",7,"Fold1"
193.285965393353,193.285965393353,193.285965393353,"client_state_rank",7,"Fold1"
157.196410031109,157.196410031109,157.196410031109,"age",7,"Fold1"
156.086792714222,156.086792714222,156.086792714222,"cons_month_lt",7,"Fold1"
121.414062000075,121.414062000075,121.414062000075,"gift_avg_lt",7,"Fold1"
114.783897731302,114.783897731302,114.783897731302,"digital_t12m",7,"Fold1"
111.237330965998,111.237330965998,111.237330965998,"gift_max_lt",7,"Fold1"
195.252052196022,195.252052196022,195.252052196022,"client_zip_rank",5,"Fold1"
193.285965393353,193.285965393353,193.285965393353,"client_state_rank",5,"Fold1"
157.196410031109,157.196410031109,157.196410031109,"age",5,"Fold1"
