sustainer,gender,client_state_rank,all_state_rank,client_zip_rank,all_zip_rank,age,account_id,gift_date,gift_min_t12m,gift_max_t12m,gift_avg_t12m,gift_count_t12m,promo_count_t12m,cons_month_t12m,dm_t12m,tm_t12m,wm_t12m,digital_t12m,f2f_t12m,events_t12m,drtv_t12m,other_t12m,no_channel_t12m,member_t12m,gift_min_lt,gift_max_lt,gift_avg_lt,gift_count_lt,promo_count_lt,cons_month_lt
0,0,36,29,3553,34364,0.0,1030075C,2020-03-23,1.0,2.0,1.5,2,2,2,1,0,0,0,0,0,0,0,0,0,1.0,2.0,1.5,2,2,2
0,0,42,31,2594,35599,0.0,1075779C,2020-03-23,2.0,2.0,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,1,1,1
0,0,42,31,1394,29773,0.0,1090840C,2020-06-12,2.0,2.0,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,1,1,1
0,0,42,31,581,28865,0.0,1155437C,2020-11-02,2.0,2.0,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,1,1,1
0,0,42,31,3862,36077,0.0,1009280C,2019-03-27,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1,1,1
0,0,36,29,3553,34364,0.0,1030075C,2020-02-14,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1,1,1
0,0,51,50,3580,36312,0.0,1055494C,2019-10-23,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1,1,1
1,1,30,40,2707,34111,0.0,970248C,2019-01-25,50.0,90.0,70.0,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,90.0,52.0,5,5,1
0,0,49,45,3773,34177,0.0,1151486C,2019-10-23,90.0,90.0,90.0,1,1,1,1,0,0,0,0,0,0,0,0,0,10.0,90.0,38.13,32,25,2
1,0,40,39,3306,37300,0.0,1177863C,2023-04-13,15.0,15.0,15.0,1,1,1,1,0,0,0,0,0,0,0,0,0,10.0,90.0,32.67,15,12,2
0,0,51,50,4628,37329,0.0,661032C,2022-02-15,35.0,52.0,43.5,2,2,1,1,0,0,0,0,0,0,0,0,0,20.0,52.0,35.67,3,3,1
0,0,31,21,4361,36238,0.0,960312C,2021-12-06,52.0,52.0,52.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,52.0,40.67,3,3,1
0,0,29,28,904,32501,0.0,1113791C,2024-06-17,52.0,52.0,52.0,1,1,1,1,0,0,0,0,0,0,0,0,0,20.0,52.0,37.0,6,6,2
0,1,35,38,3256,33751,0.0,1150416C,2022-03-09,25.0,25.0,25.0,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,33.0,26.6,5,4,2
0,0,31,21,4361,36238,0.0,960312C,2024-02-06,104.0,104.0,104.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,104.0,56.5,4,4,1
1,0,33,41,3042,35869,0.0,434550C,2019-01-09,15.0,85.0,50.0,3,3,1,1,0,0,0,0,0,0,0,0,0,15.0,85.0,41.61,31,31,2
1,0,33,41,3042,35869,0.0,434550C,2019-02-04,15.0,85.0,41.25,4,4,2,1,0,0,0,0,0,0,0,0,0,15.0,85.0,40.78,32,32,2
0,0,49,45,3783,34809,0.0,659212C,2024-03-22,50.0,50.0,50.0,1,1,1,1,0,0,0,0,0,0,0,0,0,20.0,85.0,46.11,9,9,2
0,0,49,45,3783,34809,0.0,659212C,2019-02-14,50.0,55.0,52.5,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,85.0,54.17,6,6,2
1,0,38,33,4472,37230,0.0,670046C,2021-11-15,50.0,85.0,73.33,3,3,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,68.57,7,7,1
1,0,38,33,4472,37230,0.0,670046C,2022-11-24,50.0,85.0,67.5,2,2,1,1,0,0,1,0,0,0,0,0,0,35.0,85.0,68.33,9,9,1
1,0,38,33,4472,37230,0.0,670046C,2020-12-07,50.0,85.0,67.5,2,2,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,62.0,5,5,1
1,0,38,33,4472,37230,0.0,670046C,2019-03-18,35.0,85.0,58.33,3,3,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,58.33,3,3,1
1,0,38,33,4472,37230,0.0,670046C,2020-10-13,85.0,85.0,85.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,65.0,4,4,1
1,0,38,33,4472,37230,0.0,670046C,2022-04-05,85.0,85.0,85.0,3,3,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,70.63,8,8,1
1,0,38,33,4472,37230,0.0,670046C,2021-04-05,50.0,85.0,73.33,3,3,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,65.83,6,6,1
0,0,51,50,2368,36117,0.0,782535C,2020-06-22,35.0,35.0,35.0,1,1,1,1,0,0,0,0,0,0,0,0,0,25.0,85.0,57.22,9,9,1
1,0,50,49,2643,36195,0.0,825120C,2022-04-21,25.0,85.0,45.0,3,2,1,1,0,0,0,0,0,0,0,0,0,10.0,85.0,27.35,17,16,6
1,0,50,49,2643,36195,0.0,825120C,2022-04-21,25.0,85.0,45.0,3,2,1,1,0,0,0,0,0,0,0,0,0,10.0,85.0,27.35,17,16,6
1,0,50,49,2643,36195,0.0,825120C,2021-06-03,20.0,85.0,52.5,2,2,1,1,0,0,0,0,0,0,0,0,0,10.0,85.0,27.67,15,15,6
1,0,50,49,2643,36195,0.0,825120C,2024-05-07,50.0,50.0,50.0,1,1,1,1,0,0,0,0,0,0,0,0,0,10.0,85.0,28.61,18,17,6
0,0,16,12,3365,33137,0.0,849770C,2019-05-29,85.0,85.0,85.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,58.33,3,3,1
0,0,16,12,3365,33137,0.0,849770C,2021-09-03,85.0,85.0,85.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,65.0,4,4,1
0,0,32,27,1239,33505,0.0,979954C,2019-08-20,55.0,85.0,65.0,3,3,1,1,0,0,0,0,0,0,0,0,0,25.0,85.0,49.29,7,7,1
1,0,50,49,2152,31583,0.0,992388C,2024-02-22,50.0,85.0,67.5,2,2,1,1,0,0,0,0,0,0,0,0,0,15.0,85.0,34.74,19,18,7
1,0,50,49,2152,31583,0.0,992388C,2022-03-28,25.0,50.0,37.5,2,2,1,1,0,0,0,0,0,0,0,0,0,15.0,85.0,30.88,17,16,7
1,0,50,49,2152,31583,0.0,992388C,2022-03-28,25.0,50.0,37.5,2,2,1,1,0,0,0,0,0,0,0,0,0,15.0,85.0,30.88,17,16,7
1,0,50,49,2152,31583,0.0,992388C,2020-04-08,50.0,85.0,67.5,2,2,1,1,0,0,0,0,0,0,0,0,0,15.0,85.0,30.0,15,14,7
1,0,50,49,2152,31583,0.0,992388C,2023-04-11,50.0,50.0,50.0,1,1,1,1,0,0,0,0,0,0,0,0,0,15.0,85.0,31.94,18,17,7
1,0,36,29,4679,36894,0.0,997919C,2019-10-15,85.0,85.0,85.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,52.5,4,4,1
1,0,47,47,3339,37226,0.0,1006544C,2020-03-05,55.0,85.0,70.0,2,2,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,57.5,4,4,1
1,0,47,47,3339,37226,0.0,1006544C,2020-09-22,25.0,85.0,55.0,2,2,1,1,0,0,1,0,0,0,0,0,0,25.0,85.0,51.0,5,5,1
1,0,46,44,4243,36067,0.0,1024275C,2022-04-26,85.0,85.0,85.0,2,1,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,61.0,10,8,1
1,0,46,44,4243,36067,0.0,1024275C,2022-04-26,85.0,85.0,85.0,2,1,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,61.0,10,8,1
1,0,51,50,1954,34120,0.0,1032708C,2020-01-06,25.0,85.0,54.17,6,6,2,1,0,0,0,0,0,0,0,0,0,25.0,85.0,48.82,17,16,2
1,0,50,49,3940,35293,0.0,1032735C,2020-10-02,10.0,85.0,47.5,4,4,2,1,0,0,0,0,0,0,0,0,0,10.0,85.0,35.45,22,22,2
1,0,50,49,3940,35293,0.0,1032735C,2019-11-21,85.0,85.0,85.0,3,3,2,1,0,0,0,0,0,0,0,0,0,20.0,85.0,38.0,20,20,2
1,0,50,49,3940,35293,0.0,1032735C,2019-10-04,85.0,85.0,85.0,2,2,1,1,0,0,0,0,0,0,0,0,0,20.0,85.0,35.53,19,19,2
1,0,50,49,3940,35293,0.0,1032735C,2020-09-08,10.0,85.0,60.0,3,3,2,1,0,0,0,0,0,0,0,0,0,10.0,85.0,36.67,21,21,2
1,0,30,40,1078,30968,0.0,1062037C,2019-05-15,15.0,85.0,51.67,3,3,2,1,0,0,0,0,0,0,0,0,0,15.0,85.0,51.67,3,3,2
0,0,45,37,4310,35904,0.0,1063454C,2023-12-15,50.0,50.0,50.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,55.71,7,7,1
0,0,45,37,4310,35904,0.0,1063454C,2022-12-14,55.0,55.0,55.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,56.67,6,6,1
1,0,42,31,4434,35858,0.0,1063755C,2019-06-04,35.0,35.0,35.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,59.0,5,5,1
1,0,42,31,4434,35858,0.0,1063755C,2020-03-19,35.0,85.0,55.0,4,4,2,1,0,0,0,0,0,0,0,0,0,35.0,85.0,60.0,8,8,2
1,0,42,31,4434,35858,0.0,1063755C,2019-09-09,35.0,85.0,60.0,2,2,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,63.33,6,6,1
1,0,42,31,4434,35858,0.0,1063755C,2020-02-13,35.0,85.0,56.67,3,3,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,61.43,7,7,1
0,1,39,35,3556,36484,0.0,1064415C,2021-08-26,35.0,35.0,35.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,85.0,55.83,6,6,1
0,0,49,45,3684,35254,0.0,1401631C,2019-01-08,50.0,85.0,67.5,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,85.0,51.36,11,11,1
0,0,49,45,3684,35254,0.0,1401631C,2020-01-06,50.0,50.0,50.0,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,85.0,51.25,12,12,1
0,0,49,45,3684,35254,0.0,1401631C,2021-10-19,50.0,50.0,50.0,1,1,1,1,0,0,0,0,0,0,0,0,0,25.0,85.0,51.15,13,13,1
1,1,46,44,624,28260,0.0,1169886C,2020-03-05,37.0,47.0,42.0,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,47.0,33.8,5,5,2
1,0,50,49,4687,37238,0.0,1165657C,2020-11-26,9.0,9.0,9.0,10,6,5,1,0,0,1,0,0,0,0,0,0,9.0,9.0,9.0,10,6,5
1,0,50,49,4687,37238,0.0,1165657C,2020-08-26,9.0,9.0,9.0,4,3,2,1,0,0,1,0,0,0,0,0,0,9.0,9.0,9.0,4,3,2
1,0,50,49,4687,37238,0.0,1165657C,2020-08-26,9.0,9.0,9.0,4,3,2,1,0,0,1,0,0,0,0,0,0,9.0,9.0,9.0,4,3,2
1,0,50,49,4687,37238,0.0,1165657C,2020-10-26,9.0,9.0,9.0,8,5,4,1,0,0,1,0,0,0,0,0,0,9.0,9.0,9.0,8,5,4
1,0,50,49,4687,37238,0.0,1165657C,2020-11-26,9.0,9.0,9.0,10,6,5,1,0,0,1,0,0,0,0,0,0,9.0,9.0,9.0,10,6,5
1,0,50,49,4687,37238,0.0,1165657C,2020-09-26,9.0,9.0,9.0,6,4,3,1,0,0,1,0,0,0,0,0,0,9.0,9.0,9.0,6,4,3
1,0,50,49,4687,37238,0.0,1165657C,2020-10-26,9.0,9.0,9.0,8,5,4,1,0,0,1,0,0,0,0,0,0,9.0,9.0,9.0,8,5,4
0,0,31,21,4785,37130,0.0,666339C,2023-01-13,50.0,80.0,60.0,3,2,1,1,0,0,0,0,0,0,0,0,0,20.0,80.0,31.88,16,15,2
0,0,31,21,4785,37130,0.0,666339C,2023-01-13,50.0,80.0,60.0,3,2,1,1,0,0,0,0,0,0,0,0,0,20.0,80.0,31.88,16,15,2
0,0,31,21,4785,37130,0.0,666339C,2022-02-22,80.0,80.0,80.0,1,1,1,1,0,0,0,0,0,0,0,0,0,20.0,80.0,29.29,14,14,2
1,0,44,51,3459,36499,0.0,1040726C,2020-07-17,5.0,80.0,30.0,3,3,2,1,0,0,1,0,0,0,0,0,0,5.0,80.0,38.0,5,5,2
1,0,49,45,3600,34290,0.0,1064005C,2021-03-03,60.0,80.0,70.0,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,80.0,58.68,19,18,13
1,0,49,45,3600,34290,0.0,1064005C,2021-01-08,60.0,80.0,70.0,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,80.0,58.61,18,17,13
1,0,32,27,3830,35199,0.0,1160223C,2020-05-21,25.0,80.0,60.0,3,3,1,1,0,0,1,0,0,0,0,0,0,20.0,80.0,41.67,12,12,1
1,0,32,27,3830,35199,0.0,1160223C,2019-07-19,80.0,80.0,80.0,1,1,1,1,0,0,0,0,0,0,0,0,0,20.0,80.0,40.0,10,10,1
1,0,32,27,3830,35199,0.0,1160223C,2019-12-06,75.0,80.0,77.5,2,2,1,1,0,0,0,0,0,0,0,0,0,20.0,80.0,43.18,11,11,1
1,0,34,36,2471,30272,0.0,1033873C,2019-03-26,50.0,170.0,96.25,4,4,1,1,0,0,0,0,0,0,0,0,0,25.0,170.0,66.67,9,9,2
0,0,35,38,4495,36752,0.0,1037521C,2023-07-28,100.0,100.0,100.0,1,1,1,1,0,0,0,0,0,0,0,0,0,25.0,170.0,86.54,13,13,1
1,0,37,34,2718,33847,0.0,1063941C,2019-12-06,10.0,35.0,18.33,3,2,1,1,0,0,1,0,0,0,0,0,0,10.0,170.0,79.5,10,9,1
0,0,43,43,2316,31992,0.0,1150198C,2022-12-16,15.0,23.0,19.0,2,2,1,1,0,0,0,0,0,0,0,0,0,15.0,23.0,17.67,3,3,1
0,0,51,50,4169,36760,0.0,248526C,2019-05-29,35.0,35.0,35.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,75.0,53.33,3,3,1
0,0,51,50,4169,36760,0.0,248526C,2019-08-29,35.0,75.0,55.0,2,2,1,1,0,0,0,0,0,0,0,0,0,35.0,75.0,58.75,4,4,1
1,0,32,27,1341,34636,0.0,384436C,2022-02-28,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,54.0,10,10,1
1,0,32,27,1341,34636,0.0,384436C,2022-03-28,75.0,75.0,75.0,2,2,2,1,0,0,0,0,0,0,0,0,0,25.0,75.0,55.91,11,11,2
0,0,40,39,4759,37379,0.0,557793C,2023-06-27,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,47.5,8,8,1
0,1,38,33,1997,32748,0.0,680472C,2019-08-26,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,75.0,55.0,2,2,1
1,0,47,47,3951,35305,0.0,680547C,2020-11-27,25.0,75.0,50.0,2,2,2,1,0,0,0,0,0,0,0,0,0,10.0,75.0,19.72,18,18,7
1,0,47,47,3951,35305,0.0,680547C,2020-10-02,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,10.0,75.0,19.41,17,17,7
1,0,47,47,3951,35305,0.0,680547C,2022-05-02,25.0,25.0,25.0,1,1,1,1,0,0,0,0,0,0,0,0,0,10.0,75.0,20.0,19,19,7
0,0,41,32,4760,36788,0.0,772501C,2020-10-08,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,49.38,8,8,1
0,0,51,50,2840,34726,0.0,807259C,2021-12-27,25.0,50.0,37.5,2,2,2,1,0,0,0,0,0,0,0,0,0,20.0,75.0,39.09,11,11,2
0,0,51,50,2840,34726,0.0,807259C,2024-05-29,25.0,25.0,25.0,4,4,2,1,0,0,0,0,0,0,0,0,0,20.0,75.0,35.33,15,14,2
0,0,51,50,2840,34726,0.0,807259C,2024-01-22,25.0,25.0,25.0,3,3,2,1,0,0,0,0,0,0,0,0,0,20.0,75.0,36.07,14,13,2
0,0,51,50,2840,34726,0.0,807259C,2021-11-10,50.0,50.0,50.0,1,1,1,1,0,0,0,0,0,0,0,0,0,20.0,75.0,40.5,10,10,2
0,0,51,50,2840,34726,0.0,807259C,2020-10-22,20.0,75.0,40.0,3,3,2,1,0,0,0,0,0,0,0,0,0,20.0,75.0,39.44,9,9,2
0,0,51,50,2840,34726,0.0,807259C,2023-11-29,25.0,25.0,25.0,2,2,2,1,0,0,0,0,0,0,0,0,0,20.0,75.0,36.92,13,12,2
0,0,51,50,2840,34726,0.0,807259C,2023-10-02,25.0,25.0,25.0,1,1,1,1,0,0,0,0,0,0,0,0,0,20.0,75.0,37.92,12,11,2
1,0,42,31,4634,37234,0.0,845417C,2019-09-25,10.0,30.0,14.0,5,5,5,1,0,0,0,0,0,0,0,0,0,10.0,75.0,22.14,28,22,8
0,0,36,29,3808,37259,0.0,846801C,2019-02-26,35.0,35.0,35.0,1,1,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,52.0,5,5,1
1,0,51,50,2006,36957,0.0,877131C,2023-03-22,10.0,55.0,38.33,3,3,1,1,0,0,1,0,0,0,0,0,0,10.0,75.0,43.33,15,8,1
1,0,51,50,2006,36957,0.0,877131C,2022-06-23,55.0,55.0,55.0,1,1,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,45.38,13,7,1
1,0,51,50,2006,36957,0.0,877131C,2022-11-23,50.0,55.0,52.5,2,2,1,1,0,0,1,0,0,0,0,0,0,25.0,75.0,45.71,14,7,1
0,0,45,37,4407,36855,0.0,881307C,2021-04-22,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,75.0,53.33,3,3,1
1,0,51,50,1805,36150,0.0,928082C,2022-09-21,55.0,75.0,65.0,2,2,1,1,0,0,0,0,0,0,0,0,0,20.0,75.0,27.92,12,12,9
1,1,51,50,4777,37220,0.0,962510C,2021-12-20,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,5.0,75.0,20.77,13,13,10
1,1,22,14,3058,35009,0.0,968372C,2019-12-23,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,75.0,61.67,3,3,1
0,0,50,49,1343,31182,0.0,973668C,2019-12-30,50.0,50.0,50.0,1,1,1,1,0,0,0,0,0,0,0,0,0,20.0,75.0,46.82,11,11,1
0,0,42,31,3894,34733,0.0,983169C,2022-04-04,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,53.25,20,17,1
0,0,42,31,3894,34733,0.0,983169C,2019-04-22,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,50.88,17,16,1
0,0,42,31,3894,34733,0.0,983169C,2021-04-02,50.0,50.0,50.0,1,1,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,52.11,19,16,1
0,0,42,31,3894,34733,0.0,983169C,2020-03-31,75.0,75.0,75.0,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,52.22,18,16,1
0,0,42,31,3894,34733,0.0,983169C,2024-04-08,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,54.29,21,18,1
0,0,51,50,4225,36904,0.0,984417C,2020-07-02,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,75.0,55.0,2,2,1
0,0,47,47,3699,36014,0.0,995190C,2020-03-31,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,20.0,75.0,51.0,10,10,1
0,0,47,47,3699,36014,0.0,995190C,2019-01-12,50.0,50.0,50.0,2,2,1,1,0,0,1,0,0,0,0,0,0,20.0,75.0,48.33,9,9,1
0,1,41,32,4771,37252,0.0,999717C,2019-01-08,75.0,75.0,75.0,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,46.43,7,7,1
0,1,41,32,4771,37252,0.0,999717C,2019-09-10,75.0,75.0,75.0,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,50.0,8,8,1
1,0,51,50,4633,36793,0.0,1006439C,2021-08-30,50.0,75.0,62.5,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,36.4,25,25,11
1,0,51,50,4633,36793,0.0,1006439C,2022-04-05,50.0,75.0,62.5,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,36.92,26,26,11
0,0,32,27,2638,35000,0.0,1008373C,2019-04-08,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,75.0,55.0,2,2,1
1,0,48,46,4426,36446,0.0,1015757C,2020-07-28,50.0,75.0,58.33,3,3,2,1,0,0,0,0,0,0,0,0,0,10.0,75.0,21.94,18,18,13
1,0,48,46,4426,36446,0.0,1015757C,2021-12-03,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,10.0,75.0,24.74,19,19,13
1,0,48,46,4426,36446,0.0,1015757C,2020-06-26,50.0,75.0,62.5,2,2,1,1,0,0,0,0,0,0,0,0,0,10.0,75.0,20.29,17,17,13
1,1,48,46,4613,36621,0.0,1017960C,2021-03-03,5.0,75.0,40.0,2,2,1,1,0,0,0,0,0,0,0,0,0,5.0,75.0,19.64,14,14,9
1,0,23,16,3147,35403,0.0,1017966C,2021-03-03,10.0,75.0,42.5,2,2,1,1,0,0,0,0,0,0,0,0,0,10.0,75.0,18.64,11,11,8
1,0,23,16,3147,35403,0.0,1017966C,2024-04-11,50.0,75.0,62.5,2,2,1,1,0,0,0,0,0,0,0,0,0,10.0,75.0,21.11,18,17,8
1,0,23,16,3147,35403,0.0,1017966C,2023-10-02,50.0,50.0,50.0,1,1,1,1,0,0,0,0,0,0,0,0,0,10.0,75.0,17.94,17,16,8
1,0,50,49,4694,37258,0.0,1018307C,2020-03-25,35.0,75.0,53.33,3,3,2,1,0,0,0,0,0,0,0,0,0,35.0,75.0,48.57,7,7,2
0,0,49,45,4465,36185,0.0,1019391C,2019-10-08,75.0,75.0,75.0,2,2,1,1,0,0,0,0,0,0,0,0,0,35.0,75.0,57.5,6,6,2
0,0,49,45,4465,36185,0.0,1019391C,2020-06-22,50.0,75.0,62.5,2,2,1,1,0,0,0,0,0,0,0,0,0,35.0,75.0,56.43,7,7,2
0,0,49,45,4465,36185,0.0,1019391C,2022-07-25,50.0,50.0,50.0,1,1,1,1,0,0,0,0,0,0,0,0,0,35.0,75.0,57.78,9,9,2
0,0,49,45,4465,36185,0.0,1019391C,2023-06-14,50.0,75.0,62.5,2,2,1,1,0,0,0,0,0,0,0,0,0,35.0,75.0,59.5,10,10,2
0,1,49,45,2785,34062,0.0,1022954C,2020-10-14,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,28.33,15,14,3
0,1,37,34,2643,31061,0.0,1023874C,2023-04-18,50.0,75.0,62.5,2,2,1,1,0,0,0,0,0,0,0,0,0,15.0,75.0,43.75,24,22,1
0,1,37,34,2643,31061,0.0,1023874C,2023-04-18,50.0,75.0,62.5,2,2,1,1,0,0,0,0,0,0,0,0,0,15.0,75.0,43.75,24,22,1
0,1,37,34,2643,31061,0.0,1023874C,2019-10-24,50.0,50.0,50.0,1,1,1,1,0,0,0,0,0,0,0,0,0,15.0,75.0,41.11,18,17,1
0,1,37,34,2643,31061,0.0,1023874C,2022-02-22,50.0,50.0,50.0,2,2,1,1,0,0,0,0,0,0,0,0,0,15.0,75.0,42.05,22,20,1
0,0,38,33,4371,37276,0.0,1024628C,2020-01-02,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,43.64,11,11,2
0,0,38,33,4371,37276,0.0,1024628C,2024-01-02,75.0,75.0,75.0,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,52.0,15,15,2
0,0,38,33,4371,37276,0.0,1024628C,2022-02-14,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,48.46,13,13,2
0,0,38,33,4371,37276,0.0,1024628C,2023-01-12,75.0,75.0,75.0,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,50.36,14,14,2
0,0,38,33,4371,37276,0.0,1024628C,2021-01-05,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,46.25,12,12,2
1,1,30,40,4477,36707,0.0,1026003C,2023-08-29,25.0,25.0,25.0,1,1,1,1,0,0,1,0,0,0,0,0,0,25.0,75.0,56.25,4,4,1
1,0,51,50,1954,34120,0.0,1032708C,2019-08-22,35.0,75.0,48.75,4,4,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,47.5,14,13,2
1,0,51,50,1954,34120,0.0,1032708C,2019-09-16,25.0,75.0,45.83,6,6,2,1,0,0,0,0,0,0,0,0,0,25.0,75.0,46.56,16,15,2
1,0,51,50,1954,34120,0.0,1032708C,2019-09-03,35.0,75.0,50.0,5,5,2,1,0,0,0,0,0,0,0,0,0,25.0,75.0,48.0,15,14,2
1,0,15,18,1532,29859,0.0,1053466C,2021-04-08,35.0,75.0,55.0,2,2,1,1,0,0,0,0,0,0,0,0,0,15.0,75.0,40.0,4,4,1
1,0,34,36,3776,36306,0.0,1057577C,2019-10-09,25.0,75.0,50.0,2,2,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,50.0,2,2,1
0,0,51,50,4695,37106,0.0,1059057C,2019-07-22,50.0,50.0,50.0,1,1,1,1,0,0,0,0,0,0,0,0,0,25.0,75.0,52.5,4,4,1
1,0,18,20,1125,32113,0.0,1060310C,2023-11-17,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,5.0,75.0,21.43,7,6,3
1,0,33,41,2440,29322,0.0,1082725C,2023-04-12,50.0,50.0,50.0,1,1,1,1,0,0,0,0,0,0,0,0,0,10.0,75.0,13.48,33,21,7
0,0,38,33,4602,36996,0.0,1092392C,2021-10-27,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,20.0,75.0,56.67,3,3,1
0,0,38,33,4602,36996,0.0,1092392C,2020-10-13,20.0,75.0,47.5,2,2,1,1,0,0,0,0,0,0,0,0,0,20.0,75.0,47.5,2,2,1
1,0,47,47,4662,37199,0.0,1092504C,2020-07-17,15.0,75.0,32.5,4,4,2,1,0,0,0,0,0,0,0,0,0,15.0,75.0,32.5,4,4,2
1,0,47,47,4662,37199,0.0,1092504C,2020-06-17,15.0,75.0,45.0,2,2,1,1,0,0,0,0,0,0,0,0,0,15.0,75.0,45.0,2,2,1
1,0,47,47,4662,37199,0.0,1092504C,2024-02-09,75.0,75.0,75.0,1,1,1,1,0,0,0,0,0,0,0,0,0,15.0,75.0,22.65,17,15,6
1,0,47,47,4662,37199,0.0,1092504C,2020-06-22,15.0,75.0,38.33,3,3,1,1,0,0,0,0,0,0,0,0,0,15.0,75.0,38.33,3,3,1
0,0,29,28,685,29923,0.0,1108757C,2021-02-11,25.0,75.0,50.0,4,4,2,1,0,0,0,0,0,0,0,0,0,25.0,75.0,47.86,7,7,2
0,0,29,28,685,29923,0.0,1108757C,2023-04-06,25.0,50.0,31.25,4,4,2,1,0,0,1,0,0,0,0,0,0,25.0,75.0,41.82,11,11,2
0,0,29,28,685,29923,0.0,1108757C,2023-05-29,25.0,50.0,40.0,5,5,2,1,0,0,1,0,0,0,0,0,0,25.0,75.0,43.08,13,13,2
